,Index1,Index2,Interaction Strength
106,2829.0,13971.0,1.7008194
107,2829.0,13344.0,1.7007763
108,8485.0,16720.0,1.7007647
109,8614.0,16996.0,1.7007406
110,530.0,12877.0,1.700716
111,11796.0,24933.0,1.700709
112,961.0,19784.0,1.7006804
113,2829.0,8094.0,1.700673
114,20497.0,25865.0,1.7006727
115,22852.0,23042.0,1.7005732
116,15252.0,21335.0,1.7005578
117,17381.0,25766.0,1.7005527
118,844.0,12107.0,1.7005415
119,17696.0,25215.0,1.7005398
120,17393.0,18283.0,1.7005217
121,8558.0,13440.0,1.7005163
122,4676.0,9458.0,1.7005134
123,728.0,8614.0,1.7004794
124,16151.0,17317.0,1.7004131
125,20497.0,24828.0,1.7004119
126,25215.0,26033.0,1.7004119
127,1235.0,9650.0,1.7003722
128,24717.0,27260.0,1.7003711
129,12269.0,21335.0,1.7003361
130,12385.0,17434.0,1.7003233
131,1069.0,25972.0,1.7002743
132,17751.0,25972.0,1.7002572
133,17013.0,17317.0,1.700254
134,4994.0,25944.0,1.7002236
135,8102.0,15909.0,1.7001778
136,1042.0,17381.0,1.7001469
137,361.0,8558.0,1.7001368
138,16609.0,25162.0,1.7001178
139,20497.0,27904.0,1.7000986
140,7370.0,26838.0,1.7000705
141,16941.0,25972.0,1.7000694
142,12877.0,22759.0,1.700052
143,3629.0,18986.0,1.7000072
144,823.0,23196.0,1.6998726
145,844.0,1235.0,1.6998566
146,26838.0,27859.0,1.6998008
147,12385.0,14105.0,1.699789
148,12385.0,16538.0,1.6997815
149,12877.0,23727.0,1.6997756
150,660.0,23042.0,1.6997715
151,5860.0,25972.0,1.699727
152,5175.0,7569.0,1.6997107
153,8940.0,26184.0,1.6997045
154,11024.0,16738.0,1.699684
155,1794.0,8531.0,1.6996527
156,10289.0,15345.0,1.6996497
157,12385.0,18283.0,1.6996236
158,12877.0,13161.0,1.6996192
159,8765.0,23808.0,1.6995994
160,19272.0,21407.0,1.699593
161,15909.0,16884.0,1.6995898
162,1994.0,13371.0,1.699563
163,6257.0,11903.0,1.6995597
164,7895.0,12127.0,1.6995548
165,3152.0,26785.0,1.6995267
166,16828.0,17152.0,1.6994762
167,2993.0,8940.0,1.6994662
168,6410.0,26886.0,1.6994482
169,2120.0,14677.0,1.6994259
170,2877.0,17691.0,1.6994106
171,6232.0,13786.0,1.6994038
172,17397.0,20497.0,1.6994023
173,862.0,25972.0,1.6993648
174,6988.0,22336.0,1.699364
175,4181.0,23808.0,1.6993325
