,Index1,Index2,Interaction Strength
58,5170.0,16170.0,1025.2762
59,17241.0,27954.0,1024.5725
60,16170.0,21847.0,1023.60406
61,3581.0,3958.0,1022.01715
62,13196.0,17241.0,1017.53204
63,16170.0,20613.0,1016.0674
64,17241.0,27084.0,1015.6019
65,16256.0,27305.0,1013.3852
66,16170.0,18729.0,1011.2002
67,3516.0,7595.0,999.59625
68,3581.0,27250.0,998.9541
69,11346.0,16170.0,996.1686
70,3581.0,13820.0,994.96826
71,5722.0,13820.0,991.38995
72,15880.0,17938.0,983.68164
73,3581.0,5722.0,981.26184
74,16170.0,20680.0,979.3476
75,3581.0,25043.0,979.09204
76,4524.0,16170.0,976.58356
77,3517.0,16170.0,975.7675
78,16170.0,19903.0,975.3543
79,15880.0,20778.0,975.1706
80,2688.0,16170.0,974.9629
81,15880.0,16113.0,974.78406
82,9510.0,15880.0,972.8047
83,17241.0,25907.0,970.88086
84,15880.0,25620.0,969.3961
85,16170.0,21720.0,969.0856
86,304.0,16170.0,966.95197
87,3958.0,16170.0,962.9831
88,12757.0,16170.0,961.57104
89,14085.0,14086.0,961.14185
90,14769.0,17241.0,956.0329
91,13975.0,16170.0,953.77716
92,8.0,8927.0,953.76025
93,4324.0,16170.0,953.44574
94,17241.0,17455.0,952.98895
95,25043.0,25044.0,952.8536
96,16170.0,19650.0,951.9847
97,15880.0,16375.0,942.25464
98,16170.0,20011.0,939.16846
99,15880.0,21182.0,938.3058
100,10782.0,17241.0,936.4335
101,6838.0,17241.0,935.34906
102,467.0,16170.0,932.3847
103,3516.0,16286.0,931.50555
104,2893.0,16170.0,930.5956
105,6673.0,13400.0,927.09644
106,2168.0,16170.0,923.66437
107,11763.0,16170.0,923.24927
108,1851.0,16170.0,922.0882
109,13704.0,16170.0,921.43396
110,11191.0,16170.0,917.0057
111,16170.0,21031.0,916.7764
112,16170.0,20388.0,916.45654
113,16170.0,25043.0,915.12573
114,3516.0,3581.0,911.91974
115,16170.0,19944.0,908.36115
116,16170.0,24009.0,908.19415
117,1374.0,16170.0,907.92126
118,3581.0,16355.0,906.71277
119,1187.0,27305.0,906.3954
120,6207.0,15880.0,903.238
121,4797.0,16170.0,900.747
122,16032.0,16170.0,899.8967
123,2416.0,16170.0,899.8082
124,16170.0,24172.0,899.6389
125,16170.0,24111.0,898.9085
126,2259.0,16170.0,896.7483
127,16170.0,17044.0,896.0312
128,11574.0,15880.0,895.34607
129,16170.0,24395.0,895.1299
130,14086.0,15195.0,894.5897
131,16170.0,19520.0,891.2806
132,15880.0,20578.0,890.11194
133,3499.0,14085.0,890.11
134,16090.0,16170.0,883.6869
135,1412.0,16170.0,883.20337
136,1339.0,23626.0,881.9214
137,825.0,16170.0,881.43634
138,1389.0,16170.0,880.4323
139,3581.0,25025.0,879.1824
140,1174.0,16170.0,876.05133
141,6443.0,16170.0,874.88293
142,4571.0,16170.0,874.8729
143,1981.0,26530.0,872.30554
144,16170.0,24567.0,871.2711
145,3517.0,16256.0,868.72095
146,3956.0,16170.0,868.62555
147,16170.0,26764.0,868.29834
148,16170.0,23237.0,865.53357
149,13820.0,25044.0,863.1714
150,3350.0,16170.0,862.6125
151,4294.0,16170.0,862.2487
152,15707.0,16170.0,862.12415
153,167.0,16170.0,860.86487
154,15880.0,16934.0,859.90924
155,4512.0,16170.0,859.7574
